guid,name,version,is_system,n_installs,pct_installed
aushelper@mozilla.org,Application Update Service Helper,1.0,True,"895,700",99.87
webcompat@mozilla.org,Web Compat,1.0,True,"894,206",99.70
e10srollout@mozilla.org,Multi-process staged rollout,1.6,True,"892,534",99.51
firefox@getpocket.com,Pocket,1.0.5,True,"891,941",99.45
{d10d0bf8-f5b5-c8b4-a8b2-2b9879e08c5d},Adblock Plus,2.8.2,False,"148,211",16.52
{de71f09a-3342-48c5-95c1-4b0f17567554},Search for Firefox,1.2,False,"70,651",7.88
_65Members_@download.fromdoctopdf.com,FromDocToPDF,7.102.10.4221,False,"64,800",7.22
light_plugin_ACF0E80077C511E59DED005056C00008@kaspersky.com,Kaspersky Protection,4.6.3-15,False,"55,695",6.21
{b9db16a4-6edc-47ec-a1f4-b86292ed211d},Video DownloadHelper,6.1.1,False,"50,971",5.68
helper-sig@savefrom.net,SaveFrom.net - helper,6.90,False,"46,797",5.22
_ceMembers_@free.easypdfcombine.com,EasyPDFCombine,7.102.10.4117,False,"35,774",3.99
wrc@avast.com,Avast Online Security,12.0.88,False,"35,020",3.90
{b9bfaf1c-a63f-47cd-8b9a-29526ced9060},Download YouTube Videos as MP4,1.8.8,False,"28,863",3.22
caa1-aDOiCAxFFMOVIX@jetpack,goMovix - Movies And More,0.1.7,False,"26,506",2.96
{4ED1F68A-5463-4931-9384-8FFF5ED91D92},McAfee WebAdvisor,5.0.248.0,False,"25,486",2.84
_dbMembers_@free.getformsonline.com,GetFormsOnline,7.102.10.4251,False,"24,079",2.68
_4zMembers_@www.videodownloadconverter.com,VideoDownloadConverter,7.102.10.5033,False,"23,326",2.60
light_plugin_F6F079488B53499DB99380A7E11A93F6@kaspersky.com,Kaspersky Protection,5.0.141-4-20161031140250,False,"22,049",2.46
feca4b87-3be4-43da-a1b1-137c24220968@jetpack,YouTube Video and Audio Downloader,0.5.6,False,"21,834",2.43
firebug@software.joehewitt.com,Firebug,2.0.18,False,"21,686",2.42
YoutubeDownloader@PeterOlayev.com,1-Click YouTube Video Downloader,2.4.1,False,"21,276",2.37
uBlock0@raymondhill.net,uBlock Origin,1.10.0,False,"19,346",2.16
sp@avast.com,Avast SafePrice,10.3.5.39,False,"18,750",2.09
artur.dubovoy@gmail.com,Flash Video Downloader - YouTube HD Download [4K],15.0.3,False,"18,173",2.03
{82AF8DCA-6DE9-405D-BD5E-43525BDAD38A},Skype,8.0.0.9103,False,"17,773",1.98
